doctor_id,first_name,last_name,phone,specialization,birth_date,salary,join_date,department_id
44,Derrick,Evans,001-406-538-7535x014,"Engineer, materials",1965-09-17,30257,2026-01-01,39
45,Brian,Sanford,(623)558-2267x8378,Surgeon,1978-06-28,49150,2023-04-22,9
46,Anthony,Bruce,001-938-774-2583x17722,Special effects artist,1986-05-08,45709,2022-10-19,27
47,Mary,Gordon,001-296-224-5291x2967,Location manager,1989-03-03,22294,2022-09-14,45
48,Matthew,Terrell,952-998-9218,Advertising account executive,1968-04-18,49365,2021-12-30,43
49,Edward,Jones,447-394-0179x4329,Museum/gallery curator,1977-03-09,18948,2021-11-12,29
50,William,Henry,333.664.6284x7052,Landscape architect,1986-09-17,44037,2023-11-16,6
51,Timothy,Ryan,(439)878-6549x170,"Engineer, control and instrumentation",1962-05-21,39402,2020-04-26,2
52,Leon,Lawrence,6444283266,"Psychologist, sport and exercise",1989-11-06,49934,2022-04-17,50
53,Anthony,Nicholson,372-664-7693x1731,Prison officer,1975-08-02,15443,2025-01-10,41
54,Anthony,Gutierrez,+1-469-460-3549,Systems developer,1966-09-21,17841,2021-11-15,2
55,Paul,Jones,001-331-498-0584x492,Make,1988-03-22,28182,2020-09-05,23
56,Joshua,Perez,575.947.1236,"Secretary, company",1990-03-05,45608,2021-08-29,22
57,Connie,Torres,7122974935,Barrister's clerk,1966-03-04,36967,2023-06-11,8
58,Ryan,Perry,943-686-1716x5817,Solicitor,1991-11-19,39527,2025-10-29,2
59,Samuel,Martinez,711-344-5312,Commercial art gallery manager,1969-08-30,23699,2024-03-28,3
60,Nancy,Rogers,001-320-689-8897,TEFL teacher,1979-06-07,34300,2023-10-08,27
61,Sonya,Simpson,(554)395-9373x122,Operational researcher,1975-09-23,36983,2020-05-16,32
62,Phillip,Gray,+1-440-511-9267,Event organiser,1966-01-10,44672,2022-05-02,38
63,Jennifer,Herrera,391.299.5544,"Engineer, energy",1974-08-12,40229,2020-08-08,9
64,Margaret,Rubio,001-338-808-9160,Clinical research associate,1964-10-23,15977,2022-08-13,43
65,Betty,Jones,001-877-552-3323x259,Community arts worker,1970-12-01,33922,2021-07-09,33
66,Brenda,Johnson,505-258-7557,"Engineer, electrical",1971-06-29,39085,2023-06-30,23
67,Diana,Bolton,+1-431-391-9731x69557,"Surveyor, minerals",1968-10-23,27660,2023-12-06,3
68,Michael,Oneill,(212)898-3782,Operational investment banker,1994-10-05,32662,2022-06-28,32
69,Michael,Christian,+1-997-411-2242,"Education officer, museum",1984-06-08,44095,2025-02-20,29
70,Victor,Russo,+1-994-321-3557x4399,"Therapist, occupational",1962-09-05,19866,2021-06-13,3
71,Mark,Hill,913-687-0848x8404,Firefighter,1961-01-30,46578,2021-07-30,34
72,Jennifer,Joseph,(531)517-8379x543,Hotel manager,1984-04-26,49551,2024-10-06,11
73,Valerie,Jordan,(485)264-3178,Medical physicist,1991-02-22,38762,2023-03-18,46
74,Haley,Farrell,644.535.1952,"Surveyor, rural practice",1995-02-23,14809,2024-02-07,19
75,Joy,Wheeler,834.995.8410x41891,Learning mentor,1972-11-26,42673,2023-07-14,17
76,Steven,Wells,(826)405-9492x508,Retail buyer,1994-06-29,34030,2021-07-17,4
77,Karen,White,548-599-5767x4690,Race relations officer,1994-09-17,35752,2024-02-02,20
78,Roberto,Collins,+1-810-932-8196x98103,Agricultural consultant,1990-08-15,18954,2020-02-08,48
79,Kristine,Evans,578-391-3074x450,Advertising account executive,1970-12-02,46446,2026-02-27,28
80,Juan,Hale,(545)724-0163x975,"Psychotherapist, dance movement",1970-04-13,31973,2021-07-14,5
81,Mitchell,Hayes,001-255-853-7244x50992,Quantity surveyor,1976-07-22,19481,2020-10-07,28
82,Heather,Baker,(853)655-5549,Community pharmacist,1992-12-30,27349,2022-09-18,4
83,Joshua,Thomas,001-731-741-0546x721,Retail manager,1977-11-06,17278,2021-08-06,13
84,Clayton,Hernandez,231-313-7296x18193,Midwife,1990-06-22,44595,2024-09-19,18
85,Justin,Gomez,001-801-409-8519x5853,Fish farm manager,1989-10-18,29278,2026-01-13,14
86,Eric,Andrews,253.721.0992,Writer,1990-07-02,43866,2020-05-18,34
87,Nicole,Ruiz,704-658-0938,"Engineer, biomedical",1976-01-03,34432,2025-07-28,43
88,Jamie,Miller,(890)398-1682,"Designer, textile",1995-08-07,28421,2025-06-14,31
89,Christine,Richardson,(560)738-1571x561,Armed forces training and education officer,1977-08-22,44206,2024-09-11,30
90,Derrick,Reilly,442-471-9164x3229,Stage manager,1987-02-20,43393,2024-12-14,2
91,Andrea,Mays,5013006837,Minerals surveyor,1960-08-16,35715,2023-08-20,25
92,Lawrence,Rose,875.334.7483x15647,Trading standards officer,1963-09-06,26766,2021-07-17,47
93,Lisa,Shaw,811-793-0126x539,Manufacturing engineer,1968-02-01,41139,2021-08-25,18
94,George,Kelley,566.235.1827,"Therapist, sports",1991-02-10,30183,2025-03-10,19
95,Mark,Johnson,937-860-4677x20667,Industrial/product designer,1980-12-15,44448,2025-08-28,35
96,Suzanne,Brooks,001-725-618-9985x53417,Freight forwarder,1975-08-04,31342,2021-04-25,20
97,Mary,Dunn,(207)690-7653x37111,Bookseller,1970-01-05,14736,2026-01-17,33
98,Mark,Barnes,689.785.9930x3604,"Clinical scientist, histocompatibility and immunogenetics",1993-04-08,49764,2024-05-28,22
99,Karen,Manning,547.662.5925x7150,Advertising account executive,1981-03-17,14453,2022-11-01,27
100,Billy,Gray,827.477.4742x53157,Probation officer,1992-04-13,36356,2025-12-13,2
101,Robert,Washington,376.434.8323x94144,"Biochemist, clinical",1984-04-11,12330,2023-01-23,44
102,Courtney,Garcia,001-474-367-0988,"Social research officer, government",1965-03-28,49548,2021-02-06,6
103,Kari,Robertson,(328)831-2474,"Therapist, speech and language",1982-10-08,15542,2020-05-01,37
104,Marcus,Williams,001-853-635-1257x8962,Child psychotherapist,1984-02-13,10441,2022-10-21,28
105,Steven,Daniels,(990)681-2766,Records manager,1970-11-14,18392,2021-12-06,6
106,Pamela,Lee,+1-851-976-8525,Illustrator,1981-12-16,37880,2022-12-26,25
107,Amber,Summers,7529599735,Retail manager,1989-03-31,46796,2022-03-21,24
108,Michael,Wood,+1-883-840-4651x82967,Purchasing manager,1987-07-15,34099,2020-04-10,24
109,Terrance,Hurley,001-208-894-3780x73624,"Surveyor, rural practice",1971-03-02,10562,2025-07-22,25
110,Charles,Thomas,259-407-0918,Insurance underwriter,1980-09-21,38003,2025-01-09,26
111,Joshua,Allen,001-353-343-5598x07948,"Designer, interior/spatial",1965-02-17,48944,2021-10-17,20
112,James,Montoya,001-569-312-2967x439,Education administrator,1992-08-17,18745,2020-12-07,22
113,Paul,Adams,238-572-9561x79179,"Pharmacist, hospital",1973-10-16,31714,2025-05-28,30
114,Amy,Taylor,001-709-276-7252x74539,Press sub,1990-09-09,42477,2025-08-18,17
115,Scott,Walters,(815)933-1459,"Lecturer, higher education",1995-07-31,14042,2024-10-23,26
116,Christopher,Smith,652-253-3928,IT technical support officer,1983-06-15,30398,2023-12-30,34
117,Brandon,White,+1-644-674-9584x487,Chemical engineer,1980-11-08,11801,2020-01-28,42
118,Shane,Carter,423.418.0216x144,"Editor, film/video",1962-12-21,10023,2026-02-07,8
119,Christopher,Brown,(221)746-7861,Paediatric nurse,1980-07-09,19467,2021-05-12,30
120,Karla,Acosta,779-958-4364x07147,"Surveyor, rural practice",1960-09-09,22695,2023-09-23,1
121,Keith,Coleman,926.923.2884,Insurance claims handler,1987-04-03,23125,2024-09-27,1
122,Walter,Reynolds,(410)894-2937x53302,Equality and diversity officer,1981-03-01,21086,2021-07-16,49
123,Amanda,Walters,211.592.3422,"Designer, fashion/clothing",1972-03-15,27506,2023-03-27,33
124,Alejandra,Lewis,9257821604,Cartographer,1976-07-22,44602,2020-06-18,18
125,Steven,Davis,963-782-5453x2601,Lawyer,1995-04-25,12103,2020-08-30,34
126,Kevin,Anderson,913.221.1002,Financial risk analyst,1972-09-01,44595,2024-05-30,46
127,Emma,Terry,(760)308-9010x45691,"Engineer, manufacturing",1966-12-01,10034,2022-03-02,11
128,Timothy,Elliott,533-723-4719,Fast food restaurant manager,1979-06-15,42579,2021-09-08,20
129,Rickey,Grant,001-657-457-7300x9196,Warehouse manager,1967-11-05,47818,2024-07-12,29
130,William,Sanchez,001-219-323-8509x1946,"Lighting technician, broadcasting/film/video",1988-12-17,40839,2020-11-04,15
131,Brandon,Ochoa,+1-298-616-2573x835,Retail buyer,1967-09-01,41433,2020-08-19,38
132,Alan,Coleman,+1-247-810-6213,"Therapist, horticultural",1988-12-07,39427,2022-10-30,27
133,Charles,Jones,+1-736-512-5370x6198,Actor,1963-05-06,42842,2024-08-15,10
134,Michelle,Wells,+1-877-811-2380x49931,Clinical embryologist,1983-05-03,39923,2021-05-12,26
135,Lauren,Savage,(203)966-9475x035,"Surveyor, minerals",1985-03-29,16522,2024-05-24,39
136,Lisa,Aguilar,483.388.4465x28196,"Doctor, general practice",1967-07-24,11046,2023-02-24,32
137,Taylor,Butler,+1-363-493-6538x30167,Medical laboratory scientific officer,1989-12-15,26944,2025-07-05,7
138,Jamie,Brown,+1-905-736-8489x775,Merchant navy officer,1995-08-07,46191,2026-01-30,23
139,Tammy,Richardson,201-990-7934x009,Equities trader,1981-12-09,19803,2024-09-14,49
140,Amanda,Cole,+1-602-865-0715x1759,Operations geologist,1984-05-28,26267,2023-04-29,50
141,James,Quinn,+1-804-699-9289x01829,"Therapist, nutritional",1964-07-06,43883,2021-06-09,18
142,Sharon,Meadows,001-303-321-1132x29949,"Engineer, communications",1988-07-08,17189,2025-11-02,28
143,Jaime,Daniel,(960)440-8471x718,Trade mark attorney,1979-08-02,34235,2024-01-13,4
144,Nicole,Ellis,001-703-909-4935x30736,"Accountant, chartered public finance",1968-10-10,44903,2022-05-29,49
145,Lynn,Ritter,+1-807-710-1336x9999,Economist,1972-10-28,35493,2025-08-02,32
146,Alexandria,Vargas,+1-378-438-6044,Forensic scientist,1971-07-12,39171,2026-03-03,39
147,Jessica,Kelly,868.571.6685x2512,Waste management officer,1974-07-31,49956,2020-11-23,32
148,Colleen,Newman,977.655.6653,Metallurgist,1961-05-15,24342,2025-09-08,35
149,Chad,Kane,7822370071,"Journalist, magazine",1962-11-01,24509,2025-04-11,20
150,Jay,Parsons,001-826-557-4934,Learning disability nurse,1971-05-15,44237,2025-06-02,37
151,Joseph,Franklin,001-283-597-7894,Engineering geologist,1985-12-03,35961,2022-05-16,37
152,Jessica,Park,444.486.0559,Probation officer,1993-08-22,44283,2024-01-06,18
153,Whitney,Cardenas,+1-441-764-9943,Soil scientist,1985-02-09,40700,2021-10-02,46
154,Craig,Rivas,001-547-987-3699x5813,"Editor, film/video",1972-09-11,17883,2020-01-12,1
155,Harry,Harrison,001-872-522-4574,"Designer, furniture",1987-03-16,26117,2020-01-29,32
156,Tonya,Perry,+1-234-351-6204x7666,"Surveyor, land/geomatics",1965-10-10,35588,2025-11-28,49
157,Joyce,Spears,+1-936-367-4816x68671,Computer games developer,1978-08-19,29132,2022-02-10,21
158,Andrew,Jones,(318)387-3400x277,Learning disability nurse,1970-08-26,39726,2024-10-04,10
159,Katherine,Young,7979916609,"Runner, broadcasting/film/video",1975-10-21,29307,2021-07-21,1
160,Timothy,Roberts,(749)286-6672,Retail buyer,1973-05-27,49579,2023-02-17,27
161,Kevin,Shaw,001-725-662-2550x83493,"Social research officer, government",1989-08-10,49553,2020-02-24,38
162,Christina,Reese,(208)508-5641,"Engineer, agricultural",1983-03-11,45869,2024-01-25,28
163,Deborah,Dawson,346.589.4986x996,Systems analyst,1992-02-09,26679,2021-08-05,20
164,Albert,Taylor,416-773-4056x4098,"Psychologist, sport and exercise",1966-10-05,17954,2021-11-08,8
165,Linda,Chaney,371.224.3007x09129,"Horticulturist, commercial",1990-07-02,43476,2024-04-14,28
166,Michael,Weeks,352.681.0345x86131,Air broker,1972-12-12,42642,2021-01-27,32
167,Brittany,Edwards,5273124183,Management consultant,1973-11-30,28561,2020-04-25,43
168,Stephen,Page,(462)538-3518x020,Engineering geologist,1977-05-02,16152,2020-06-03,12
169,Patrick,Lynch,+1-298-890-1445x2046,Public affairs consultant,1978-03-18,10078,2024-01-12,24
170,Timothy,Obrien,(261)821-9578,Community arts worker,1993-11-03,20729,2025-09-12,33
171,Justin,Grimes,892.329.6505x751,Marketing executive,1993-08-01,43280,2023-01-06,4
172,Mary,Le,+1-357-680-8820,"Engineer, structural",1966-11-02,12095,2021-05-16,44
173,Alicia,Spencer,407.358.9453x84962,Dietitian,1969-07-01,18816,2024-02-11,4
174,Jessica,Johnson,359-223-1549x97722,"Therapist, sports",1987-07-13,12496,2025-10-13,40
175,Charles,Wells,302.839.0460x5314,Politician's assistant,1960-12-10,28167,2025-11-04,33
176,Jeremy,Rodriguez,619.951.0161,"Designer, television/film set",1963-02-25,48237,2020-09-30,15
177,Nicole,Moore,681.970.8327x54950,"Therapist, drama",1967-11-13,19245,2026-02-18,20
178,William,Watson,(356)535-1566x3988,Physiological scientist,1967-07-07,30374,2023-08-10,4
179,Meghan,Mclean,(336)500-2737,"Surveyor, insurance",1968-02-12,42789,2022-08-02,37
180,Veronica,Ramos,530-730-2903x48053,Site engineer,1960-08-30,42540,2022-08-10,29
181,Jessica,Evans,+1-328-969-3486,Ambulance person,1980-07-23,32225,2024-03-31,14
182,Linda,Rose,+1-506-427-8223x6806,Osteopath,1977-06-08,45320,2024-06-01,22
183,Christina,Bryant,933.261.5010,Control and instrumentation engineer,1967-05-21,13958,2020-11-04,7
184,Danielle,Henry,(940)917-3513x9853,"Horticulturist, amenity",1973-12-18,38223,2020-09-02,18
185,Anthony,Mcintyre,889-396-2684,Wellsite geologist,1975-12-21,18884,2021-11-17,20
186,Ronald,Bryant,618.713.5314,Systems analyst,1968-12-22,15352,2022-07-21,12
187,Jennifer,Nunez,(399)463-7416x78131,Technical sales engineer,1991-06-15,18834,2023-04-14,46
188,Mark,Hart,(389)737-4800x701,IT technical support officer,1966-05-13,12983,2025-12-28,34
189,Paula,Fox,696.360.0853x3531,Intelligence analyst,1970-08-01,48182,2021-12-01,25
190,Deborah,Roberts,980-467-6591,General practice doctor,1966-03-27,19534,2020-05-17,16
191,Jesse,Mitchell,911-916-8143x705,Operations geologist,1967-10-30,31702,2023-10-09,13
192,Mary,Brown,314-546-5067,Community education officer,1979-01-08,40561,2023-09-17,20
193,Steven,Richardson,+1-855-549-0768x710,Equities trader,1966-01-17,23323,2024-01-19,6
194,Melissa,Ware,+1-839-591-3109,Art therapist,1983-11-13,13006,2026-03-16,34
195,Nancy,Villarreal,+1-822-986-1870,Warden/ranger,1993-03-10,23668,2020-03-27,28
196,Charles,Giles,+1-645-791-6182x04396,Leisure centre manager,1964-04-09,12872,2023-07-02,41
197,Julie,Hutchinson,976.590.9810x97543,Statistician,1994-09-24,28783,2023-06-27,6
198,Phillip,Turner,(537)505-7437,Civil Service fast streamer,1961-04-24,15150,2020-06-24,1
199,Patrick,White,(450)546-3324x7565,Emergency planning/management officer,1970-01-16,45243,2020-03-12,14
200,Mark,Spears,547.709.0806,Clinical biochemist,1993-09-21,34073,2024-02-15,25
