doctor_id,first_name,last_name,phone,specialization,birth_date,salary,join_date,department_id
64,Ma****,Ru****,00****,Clinical research associate,1964-10-23,15****,2022-08-13,43
65,Be****,Jo****,00****,Community arts worker,1970-12-01,33****,2021-07-09,33
66,Br****,Jo****,50****,"Engineer, electrical",1971-06-29,39****,2023-06-30,23
67,Di****,Bo****,+1****,"Surveyor, minerals",1968-10-23,27****,2023-12-06,3
68,Mi****,On****,(2****,Operational investment banker,1994-10-05,32****,2022-06-28,32
69,Mi****,Ch****,+1****,"Education officer, museum",1984-06-08,44****,2025-02-20,29
70,Vi****,Ru****,+1****,"Therapist, occupational",1962-09-05,19****,2021-06-13,3
71,Ma****,Hi****,91****,Firefighter,1961-01-30,46****,2021-07-30,34
72,Je****,Jo****,(5****,Hotel manager,1984-04-26,49****,2024-10-06,11
73,Va****,Jo****,(4****,Medical physicist,1991-02-22,38****,2023-03-18,46
74,Ha****,Fa****,64****,"Surveyor, rural practice",1995-02-23,14****,2024-02-07,19
75,Jo****,Wh****,83****,Learning mentor,1972-11-26,42****,2023-07-14,17
76,St****,We****,(8****,Retail buyer,1994-06-29,34****,2021-07-17,4
77,Ka****,Wh****,54****,Race relations officer,1994-09-17,35****,2024-02-02,20
78,Ro****,Co****,+1****,Agricultural consultant,1990-08-15,18****,2020-02-08,48
79,Kr****,Ev****,57****,Advertising account executive,1970-12-02,46****,2026-02-27,28
80,Ju****,Ha****,(5****,"Psychotherapist, dance movement",1970-04-13,31****,2021-07-14,5
81,Mi****,Ha****,00****,Quantity surveyor,1976-07-22,19****,2020-10-07,28
82,He****,Ba****,(8****,Community pharmacist,1992-12-30,27****,2022-09-18,4
83,Jo****,Th****,00****,Retail manager,1977-11-06,17****,2021-08-06,13
84,Cl****,He****,23****,Midwife,1990-06-22,44****,2024-09-19,18
85,Ju****,Go****,00****,Fish farm manager,1989-10-18,29****,2026-01-13,14
86,Er****,An****,25****,Writer,1990-07-02,43****,2020-05-18,34
87,Ni****,Ru****,70****,"Engineer, biomedical",1976-01-03,34****,2025-07-28,43
88,Ja****,Mi****,(8****,"Designer, textile",1995-08-07,28****,2025-06-14,31
89,Ch****,Ri****,(5****,Armed forces training and education officer,1977-08-22,44****,2024-09-11,30
90,De****,Re****,44****,Stage manager,1987-02-20,43****,2024-12-14,2
91,An****,Ma****,50****,Minerals surveyor,1960-08-16,35****,2023-08-20,25
92,La****,Ro****,87****,Trading standards officer,1963-09-06,26****,2021-07-17,47
93,Li****,Sh****,81****,Manufacturing engineer,1968-02-01,41****,2021-08-25,18
94,Ge****,Ke****,56****,"Therapist, sports",1991-02-10,30****,2025-03-10,19
95,Ma****,Jo****,93****,Industrial/product designer,1980-12-15,44****,2025-08-28,35
96,Su****,Br****,00****,Freight forwarder,1975-08-04,31****,2021-04-25,20
97,Ma****,Du****,(2****,Bookseller,1970-01-05,14****,2026-01-17,33
98,Ma****,Ba****,68****,"Clinical scientist, histocompatibility and immunogenetics",1993-04-08,49****,2024-05-28,22
99,Ka****,Ma****,54****,Advertising account executive,1981-03-17,14****,2022-11-01,27
100,Bi****,Gr****,82****,Probation officer,1992-04-13,36****,2025-12-13,2
101,Ro****,Wa****,37****,"Biochemist, clinical",1984-04-11,12****,2023-01-23,44
102,Co****,Ga****,00****,"Social research officer, government",1965-03-28,49****,2021-02-06,6
103,Ka****,Ro****,(3****,"Therapist, speech and language",1982-10-08,15****,2020-05-01,37
104,Ma****,Wi****,00****,Child psychotherapist,1984-02-13,10****,2022-10-21,28
105,St****,Da****,(9****,Records manager,1970-11-14,18****,2021-12-06,6
106,Pa****,Le****,+1****,Illustrator,1981-12-16,37****,2022-12-26,25
107,Am****,Su****,75****,Retail manager,1989-03-31,46****,2022-03-21,24
108,Mi****,Wo****,+1****,Purchasing manager,1987-07-15,34****,2020-04-10,24
109,Te****,Hu****,00****,"Surveyor, rural practice",1971-03-02,10****,2025-07-22,25
110,Ch****,Th****,25****,Insurance underwriter,1980-09-21,38****,2025-01-09,26
111,Jo****,Al****,00****,"Designer, interior/spatial",1965-02-17,48****,2021-10-17,20
112,Ja****,Mo****,00****,Education administrator,1992-08-17,18****,2020-12-07,22
113,Pa****,Ad****,23****,"Pharmacist, hospital",1973-10-16,31****,2025-05-28,30
114,Am****,Ta****,00****,Press sub,1990-09-09,42****,2025-08-18,17
115,Sc****,Wa****,(8****,"Lecturer, higher education",1995-07-31,14****,2024-10-23,26
116,Ch****,Sm****,65****,IT technical support officer,1983-06-15,30****,2023-12-30,34
117,Br****,Wh****,+1****,Chemical engineer,1980-11-08,11****,2020-01-28,42
118,Sh****,Ca****,42****,"Editor, film/video",1962-12-21,10****,2026-02-07,8
119,Ch****,Br****,(2****,Paediatric nurse,1980-07-09,19****,2021-05-12,30
120,Ka****,Ac****,77****,"Surveyor, rural practice",1960-09-09,22****,2023-09-23,1
121,Ke****,Co****,92****,Insurance claims handler,1987-04-03,23****,2024-09-27,1
122,Wa****,Re****,(4****,Equality and diversity officer,1981-03-01,21****,2021-07-16,49
123,Am****,Wa****,21****,"Designer, fashion/clothing",1972-03-15,27****,2023-03-27,33
124,Al****,Le****,92****,Cartographer,1976-07-22,44****,2020-06-18,18
125,St****,Da****,96****,Lawyer,1995-04-25,12****,2020-08-30,34
126,Ke****,An****,91****,Financial risk analyst,1972-09-01,44****,2024-05-30,46
127,Em****,Te****,(7****,"Engineer, manufacturing",1966-12-01,10****,2022-03-02,11
128,Ti****,El****,53****,Fast food restaurant manager,1979-06-15,42****,2021-09-08,20
129,Ri****,Gr****,00****,Warehouse manager,1967-11-05,47****,2024-07-12,29
130,Wi****,Sa****,00****,"Lighting technician, broadcasting/film/video",1988-12-17,40****,2020-11-04,15
131,Br****,Oc****,+1****,Retail buyer,1967-09-01,41****,2020-08-19,38
132,Al****,Co****,+1****,"Therapist, horticultural",1988-12-07,39****,2022-10-30,27
133,Ch****,Jo****,+1****,Actor,1963-05-06,42****,2024-08-15,10
134,Mi****,We****,+1****,Clinical embryologist,1983-05-03,39****,2021-05-12,26
135,La****,Sa****,(2****,"Surveyor, minerals",1985-03-29,16****,2024-05-24,39
136,Li****,Ag****,48****,"Doctor, general practice",1967-07-24,11****,2023-02-24,32
137,Ta****,Bu****,+1****,Medical laboratory scientific officer,1989-12-15,26****,2025-07-05,7
138,Ja****,Br****,+1****,Merchant navy officer,1995-08-07,46****,2026-01-30,23
139,Ta****,Ri****,20****,Equities trader,1981-12-09,19****,2024-09-14,49
140,Am****,Co****,+1****,Operations geologist,1984-05-28,26****,2023-04-29,50
141,Ja****,Qu****,+1****,"Therapist, nutritional",1964-07-06,43****,2021-06-09,18
142,Sh****,Me****,00****,"Engineer, communications",1988-07-08,17****,2025-11-02,28
143,Ja****,Da****,(9****,Trade mark attorney,1979-08-02,34****,2024-01-13,4
144,Ni****,El****,00****,"Accountant, chartered public finance",1968-10-10,44****,2022-05-29,49
145,Ly****,Ri****,+1****,Economist,1972-10-28,35****,2025-08-02,32
146,Al****,Va****,+1****,Forensic scientist,1971-07-12,39****,2026-03-03,39
147,Je****,Ke****,86****,Waste management officer,1974-07-31,49****,2020-11-23,32
148,Co****,Ne****,97****,Metallurgist,1961-05-15,24****,2025-09-08,35
149,Ch****,Ka****,78****,"Journalist, magazine",1962-11-01,24****,2025-04-11,20
150,Ja****,Pa****,00****,Learning disability nurse,1971-05-15,44****,2025-06-02,37
151,Jo****,Fr****,00****,Engineering geologist,1985-12-03,35****,2022-05-16,37
152,Je****,Pa****,44****,Probation officer,1993-08-22,44****,2024-01-06,18
153,Wh****,Ca****,+1****,Soil scientist,1985-02-09,40****,2021-10-02,46
154,Cr****,Ri****,00****,"Editor, film/video",1972-09-11,17****,2020-01-12,1
155,Ha****,Ha****,00****,"Designer, furniture",1987-03-16,26****,2020-01-29,32
156,To****,Pe****,+1****,"Surveyor, land/geomatics",1965-10-10,35****,2025-11-28,49
157,Jo****,Sp****,+1****,Computer games developer,1978-08-19,29****,2022-02-10,21
158,An****,Jo****,(3****,Learning disability nurse,1970-08-26,39****,2024-10-04,10
159,Ka****,Yo****,79****,"Runner, broadcasting/film/video",1975-10-21,29****,2021-07-21,1
160,Ti****,Ro****,(7****,Retail buyer,1973-05-27,49****,2023-02-17,27
161,Ke****,Sh****,00****,"Social research officer, government",1989-08-10,49****,2020-02-24,38
162,Ch****,Re****,(2****,"Engineer, agricultural",1983-03-11,45****,2024-01-25,28
163,De****,Da****,34****,Systems analyst,1992-02-09,26****,2021-08-05,20
164,Al****,Ta****,41****,"Psychologist, sport and exercise",1966-10-05,17****,2021-11-08,8
165,Li****,Ch****,37****,"Horticulturist, commercial",1990-07-02,43****,2024-04-14,28
166,Mi****,We****,35****,Air broker,1972-12-12,42****,2021-01-27,32
167,Br****,Ed****,52****,Management consultant,1973-11-30,28****,2020-04-25,43
168,St****,Pa****,(4****,Engineering geologist,1977-05-02,16****,2020-06-03,12
169,Pa****,Ly****,+1****,Public affairs consultant,1978-03-18,10****,2024-01-12,24
170,Ti****,Ob****,(2****,Community arts worker,1993-11-03,20****,2025-09-12,33
171,Ju****,Gr****,89****,Marketing executive,1993-08-01,43****,2023-01-06,4
172,Ma****,****,+1****,"Engineer, structural",1966-11-02,12****,2021-05-16,44
173,Al****,Sp****,40****,Dietitian,1969-07-01,18****,2024-02-11,4
174,Je****,Jo****,35****,"Therapist, sports",1987-07-13,12****,2025-10-13,40
175,Ch****,We****,30****,Politician's assistant,1960-12-10,28****,2025-11-04,33
176,Je****,Ro****,61****,"Designer, television/film set",1963-02-25,48****,2020-09-30,15
177,Ni****,Mo****,68****,"Therapist, drama",1967-11-13,19****,2026-02-18,20
178,Wi****,Wa****,(3****,Physiological scientist,1967-07-07,30****,2023-08-10,4
179,Me****,Mc****,(3****,"Surveyor, insurance",1968-02-12,42****,2022-08-02,37
180,Ve****,Ra****,53****,Site engineer,1960-08-30,42****,2022-08-10,29
181,Je****,Ev****,+1****,Ambulance person,1980-07-23,32****,2024-03-31,14
182,Li****,Ro****,+1****,Osteopath,1977-06-08,45****,2024-06-01,22
183,Ch****,Br****,93****,Control and instrumentation engineer,1967-05-21,13****,2020-11-04,7
184,Da****,He****,(9****,"Horticulturist, amenity",1973-12-18,38****,2020-09-02,18
185,An****,Mc****,88****,Wellsite geologist,1975-12-21,18****,2021-11-17,20
186,Ro****,Br****,61****,Systems analyst,1968-12-22,15****,2022-07-21,12
187,Je****,Nu****,(3****,Technical sales engineer,1991-06-15,18****,2023-04-14,46
188,Ma****,Ha****,(3****,IT technical support officer,1966-05-13,12****,2025-12-28,34
189,Pa****,Fo****,69****,Intelligence analyst,1970-08-01,48****,2021-12-01,25
190,De****,Ro****,98****,General practice doctor,1966-03-27,19****,2020-05-17,16
191,Je****,Mi****,91****,Operations geologist,1967-10-30,31****,2023-10-09,13
192,Ma****,Br****,31****,Community education officer,1979-01-08,40****,2023-09-17,20
193,St****,Ri****,+1****,Equities trader,1966-01-17,23****,2024-01-19,6
194,Me****,Wa****,+1****,Art therapist,1983-11-13,13****,2026-03-16,34
195,Na****,Vi****,+1****,Warden/ranger,1993-03-10,23****,2020-03-27,28
196,Ch****,Gi****,+1****,Leisure centre manager,1964-04-09,12****,2023-07-02,41
197,Ju****,Hu****,97****,Statistician,1994-09-24,28****,2023-06-27,6
198,Ph****,Tu****,(5****,Civil Service fast streamer,1961-04-24,15****,2020-06-24,1
199,Pa****,Wh****,(4****,Emergency planning/management officer,1970-01-16,45****,2020-03-12,14
200,Ma****,Sp****,54****,Clinical biochemist,1993-09-21,34****,2024-02-15,25
